Organization Name,Organization Type (Main Category),Organization Type (Sub-categories),Website,Country,State or Province,City,Street Address 1,Street Address 2,Postal Code,Contact First Name,Contact Last Name,Email,Organization Bio,Certified MWBE,Location
TOTE Services LLC,Offshore Const./Ops. and Vessels,"Accommodation Vessel Supply,Barge Supply,Cable Laying Ship Supply,Cable Pull-in,Crane Ship Supply,Crew Transfer Vessel (CTV) Supply,Full-scope Offshore EPC,Jack-up Heavy Lift Vessel Supply,Multi-Purpose Support Vessel (MPSV) Supply,O&M Support Services,Offshore Construction Services (Heavy),Offshore Logistics Provision,Offshore O&M Services,Offshore Transport Services (Heavy),Other Construction Vessel Supply,Other Support Vessel Supply,Overwater Civil Construction,Platform Supply Vessel (PSV) Su",www.toteservices.com,USA,Florida,St Johns,"10401 Deerwood Park BLVD, BLDG 1 suite 1300",,32256,Paul,Fitzpatrick,pfitzpatrick@toteservices.com,"TOTE Services is a leading Jones Act Vessel/Terminal Management Company.  We specialize in the Jones Act Trade, operating a fleet of 28 vessels.  We have a robust purchasing, crewing and operational management portfolio for taking vessels from concept through construction and operation.    TOTE also manages 4 terminals in the US from Anchorage, AK to San Juan Puerto Rico.",No,POINT (-81.54683 30.24457)
TOTE Services LLC,Specialist Services,"Decommissioning Services,Heavy Lift Services,O&M Management,O&M Support Services,Offshore Logistics Provision,Offshore Transport Services (Heavy),Offshore Wind Worker Supply,Project Management Services,Ship Broker Services,Supply Chain Management,Terminal Logistics Services",www.toteservices.com,USA,Florida,St Johns,"10401 Deerwood Park BLVD, BLDG 1 suite 1300",,32256,Paul,Fitzpatrick,pfitzpatrick@toteservices.com,"TOTE Services is a leading Jones Act Vessel/Terminal Management Company.  We specialize in the Jones Act Trade, operating a fleet of 28 vessels.  We have a robust purchasing, crewing and operational management portfolio for taking vessels from concept through construction and operation.    TOTE also manages 4 terminals in the US from Anchorage, AK to San Juan Puerto Rico.",No,POINT (-81.54683 30.24457)
Town of Massena Electrical Department,Other Organizations,Municipal Government Department,www.massenaelectric.com/,USA,New York,Massena,71 East Hatfield Street,P.O. Box 209,13662,,,,"Town of Massena, NY, department electric utility board.",,POINT (-74.88512 44.91874)
Transcat,Manufactured Products,"Construction Tools,Fall-arrest Systems,Installation Equipment,Monitoring Equipment,O&M Tools",www.transcat.com,USA,New York,Rochester,35 Vantage Point  Drive,,14624,Daniel,Colvin,DColvin@transcat.com,"Transcat provides both calibration and testing services as well as instrumentation, kits, and tooling to the Wind Energy segment.  We have been a proud supplier to the wind energy segment for many years and we provide a single source solution that allows the end users to fully concentrate on the business of constructing and maintaining the turbines and wind farms.",No,POINT (-77.75792 43.15423)
Transcat,Other Organizations,"Calibration and testing services, Instrumentation, kits, and tooling",www.transcat.com,USA,New York,Rochester,35 Vantage Point  Drive,,14624,Daniel,Colvin,DColvin@transcat.com,"Transcat provides both calibration and testing services as well as instrumentation, kits, and tooling to the Wind Energy segment.  We have been a proud supplier to the wind energy segment for many years and we provide a single source solution that allows the end users to fully concentrate on the business of constructing and maintaining the turbines and wind farms.",No,POINT (-77.75792 43.15423)
Transcat,Specialist Services,"O&M Support Services,Other Specialist Services,Supply Chain Management,Technical Testing and Validation",www.transcat.com,USA,New York,Rochester,35 Vantage Point  Drive,,14624,Daniel,Colvin,DColvin@transcat.com,"Transcat provides both calibration and testing services as well as instrumentation, kits, and tooling to the Wind Energy segment.  We have been a proud supplier to the wind energy segment for many years and we provide a single source solution that allows the end users to fully concentrate on the business of constructing and maintaining the turbines and wind farms.",No,POINT (-77.75792 43.15423)
TRC Companies,,"Marine Construction Services (Light),Offshore Dredging Services,Offshore Logistics Provision,Overwater Civil Construction,Port Agency Services,Remote Monitoring and Control Services,Subsea Cable Installation,Subsea Engineering,Subsea Excavation,Subsea Surveys,Technical Surveys (Perform),Vessel Survey and Inspection",https://www.trccompanies.com/,USA,Massachusetts,Lowell,650 Suffolk St,,1854,Brent,Courchene,bcourchene@trccompanies.com,"TRC is a leading, global consulting, engineering and construction management firm that provides environmentally focused and digitally powered solutions across our key markets including power and utilities, transportation, industrial, and real estate.",No,POINT (-71.31574 42.64985)
TRC Companies,Consulting Services,"Asset Management,Business Advisory,Consents and Permitting,Construction Support,Consultancy Company Partnership,Due Diligence,Engineering (Civil),Engineering (Electrical),Engineering (Environmental),Engineering (Structural),Environmental Consulting,Environmental Impact Assessment (EIA),Feasibility Studies,Grid Connection,Logistics Planning & Management,Market Intelligence,Marketing Consulting,Other Consulting,Other Renewable Energy Consulting,Project Management,Regulatory Consulting,Risk Assessm",https://www.trccompanies.com/,USA,Massachusetts,Lowell,650 Suffolk St,,1854,Brent,Courchene,bcourchene@trccompanies.com,"TRC is a leading, global consulting, engineering and construction management firm that provides environmentally focused and digitally powered solutions across our key markets including power and utilities, transportation, industrial, and real estate.",No,POINT (-71.31574 42.64985)
TRC Companies,Onshore Construction Services,"Cable Pull-in,Civil Construction,Electrical Completion,Electrical Works (Electrician),Horizontal Directional Drilling (HDD),HSE Management (Construction),Marine Terminal Construction,Mechanical Completion,Onshore Cable Installation,Onshore Substation EPC,Other Renewable Plant EPC,Overwater Civil Construction,Project Management (Construction)",https://www.trccompanies.com/,USA,Massachusetts,Lowell,650 Suffolk St,,1854,Brent,Courchene,bcourchene@trccompanies.com,"TRC is a leading, global consulting, engineering and construction management firm that provides environmentally focused and digitally powered solutions across our key markets including power and utilities, transportation, industrial, and real estate.",No,POINT (-71.31574 42.64985)
Trident Construction,Manufactured Products,Cranes and Lifting Equipment,Trident Construction,USA,New York,Bronx,1160 Commerce Ave,,10580,Patrick,Murphy,patrick.murphy@trident.construction,Trident Construction is a Concrete foundation and Superstructure subcontractor primarily serving the five boroughs of New York. In addition we distribute load stabilization systems for use in crane operations.,No,POINT (-73.84203 40.83314)
Trident Precision Manufacturing Inc.,Manufacturing and Fabrication Srvcs.,Precision Manufacturing; Machining; Welding; Painting; Assembly; Product Design,www.tridentprecision.com/,USA,New York,Webster,734 Salt Road,,14580,,,,"Trident Precision Manufacturing is a contract manufacturer with the following capabilities: assembly, machining, precision fabrication, stamping, tool room, welding and paint shop.Offers custom design/development and a quickturn/model shop.",,POINT (-77.39785 43.22522)
Troy Industrial Solutions,Consulting Services,"Engineering (Electrical),Engineering (Mechanical),Engineering (Structural),Technical Testing and Validation",www.troyindustrial.com,USA,New York,Watervliet,70 Cohoes Rd,,12189-1829,Dave,Barcomb,dbarcomb@troyindustrial.com,"Troy Industrial Solutions, with over 115 employees, is the premier electromechanical maintenance, repair and operations support company in New York and New England. With full service maintenance, repair and warehouse facilities in Watervliet, NY, Brewer, ME, Ansonia, CT, and distribution operation in Salem, NH. While representing most major brands of power transmission and material handling products, our services include over 100,000 sq. ft. of service shops, custom metal fabrication and warehouses consisting of electric motor, pump and gear reducer repair, fully equipped machine shops and hydraulic repair operation.
Troy Industrial Solutions also operates one of the largest light flat belt and industrial rubber installation and fabrication shops providing innovative material handling solutions. The acquisition of Lane Conveyor Services provides custom fabricated conveyor and material handling solutions created from start to finish to solve the toughest applications.
We provide a vast array of services, including but not limited to: field service, including trained predictive maintenance technicians utilizing vibration analysis, infrared thermography, laser alignment, dynamic balancing, flow metering and ultrasound testing.  Our field service crews will remove, repair and install any of your electromechanical, hydraulic or material handling equipment.  We have qualified hoist and crane inspectors, as well as 2 Megawatt load testing equipment for standby and emergency generator units.  All of these services are available with annual service contracts to integrate with a preventative maintenance program and support critical operating components.",No,POINT (-73.70149 42.74712)
